"","LU0093503810","IE00B11XZ988","LU1003076939","LU0006061385","LU0294219869"
"572",15.85,24.97,8.95,27.77,19.62
"573",15.84,24.94,8.95,27.74,19.37
"574",15.84,25,8.95,27.76,19.27
"575",15.84,25.05,8.95,27.86,19.44
"576",15.85,25.1,8.96,27.97,19.51
"577",15.85,25.06,8.96,27.93,19.54
"578",15.85,25.05,8.96,27.94,19.68
"579",15.85,25.12,8.96,27.92,19.59
"580",15.85,25.1,8.95,27.94,19.55
"581",15.85,25.115,8.95,27.96,19.625
"582",15.85,25.13,8.95,27.97,19.7
"583",15.85,25.24,8.95,27.98,19.56
"584",15.85,25.2,8.96,27.99,19.63
"585",15.85,25.24,8.96,28.02,19.64
"586",15.85,25.26,8.96,28.07,19.59
"587",15.85,25.27,8.97,28.07,19.5
"588",15.85,25.3,8.96,28.1,19.27
"589",15.85,25.27,8.96,28.05,19.26
"590",15.85,25.33,8.97,28.07,19.08
"591",15.85,25.32,8.97,28.08,19.18
"592",15.85,25.32,8.98,28.05,19.3
"593",15.84,25.26,8.98,28.03,19.46
"594",15.84,25.3,8.99,28.03,19.67
"595",15.85,25.3,8.99,28.05,19.7
"596",15.85,25.35,8.99,28.08,19.52
"597",15.86,25.34,9,28.08,19.48
"598",15.86,25.37,9,28.07,19.61
"599",15.85,25.3,9.01,28.11,19.81
"600",15.85,25.28,9.02,28.03,19.66
"601",15.87,25.28,9.02,27.98,19.85
