"","LU0261952922","LU0811022283","LU0249332452","LU0170475312","LU0029872446"
"1333",11.152,8.559,132.45,31.11,8.6
"1334",11.1526,8.571,132.47,31.07,8.61
"1335",11.1533,8.581,132.54,31.06,8.6
"1336",11.1539,8.575,132.44,31.04,8.6
"1337",11.1545,8.583,132.77,31.13,8.61
"1338",11.1564,8.579,132.46,31.14,8.6
"1339",11.157,8.589,131.98,31.05,8.61
"1340",11.1577,8.585,131.32,31.21,8.6
"1341",11.1584,8.583,131.25,31.2,8.59
"1342",11.159,8.581,131.51,31.22,8.59
"1343",11.1609,8.59,131.95,31.21,8.6
"1344",11.1616,8.599,131.95,31.29,8.6
"1345",11.1622,8.614,132.72,31.11,8.61
"1346",11.1628,8.627,133.49,30.98,8.61
"1347",11.1634,8.632,132.98,30.87,8.61
"1348",11.1653,8.635,133.11,30.99,8.61
"1349",11.1659,8.643,133.39,30.9,8.62
"1350",11.1666,8.662,133.28,30.88,8.62
"1351",11.1672,8.667,133.8,31.02,8.62
"1352",11.1679,8.683,133.75,31.06,8.62
"1353",11.1698,8.691,133.86,31.17,8.62
"1354",11.1704,8.702,133.93,31.18,8.63
"1355",11.1711,8.71,134.85,31.06,8.64
"1356",11.1717,8.728,135.91,31.14,8.65
"1357",11.1723,8.761,136.9,30.79,8.67
"1358",11.1751,8.771,136.71,30.79,8.67
"1359",11.1757,8.779,135.7,30.78,8.68
"1360",11.1763,8.804,135.47,30.47,8.68
"1361",11.1769,8.799,135.17,30.5,8.68
"1362",11.1774,8.795,135.13,30.56,8.68
"1363",11.1793,8.788,134.69,30.88,8.66
"1364",11.18,8.776,135.15,30.93,8.66
"1365",11.1805,8.767,134.63,30.89,8.66
"1366",11.1812,8.769,134.65,30.95,8.66
"1367",11.1817,8.773,134.63,30.98,8.67
"1368",11.1835,8.773,134.76,31.02,8.66
"1369",11.184,8.767,134.92,31.01,8.67
"1370",11.1844,8.763,135.16,31.05,8.67
"1371",11.185,8.766,134.37,31.16,8.67
"1372",11.1854,8.756,133.91,31.2,8.66
"1373",11.1874,8.756,133.89,31.25,8.66
"1374",11.1874,8.759,133.59,31.21,8.65
"1375",11.1879,8.764,133.42,31.21,8.65
"1376",11.1882,8.779,133.79,31.29,8.65
"1377",11.1895,8.7825,133.69,31.265,8.65
"1378",11.191,8.78425,133.64,31.24,8.65
"1379",11.1916,8.786,133.59,31.3,8.65
"1380",11.1927,8.792,134.12,31.12,8.66
"1381",11.1937,8.796,134.12,31.05,8.67
"1382",11.1944,8.804,134.21,31,8.68
"1383",11.193,8.798,134.32,31.07,8.67
"1384",11.1966,8.806,134.57,31.02,8.67
"1385",11.1973,8.809,134.445,31.07,8.69
"1386",11.198,8.812,134.32,31.04,8.68
"1387",11.1987,8.813,133.99,31.04,8.69
"1388",11.2005,8.826,134.06,30.96,8.7
"1389",11.2013,8.828,134.55,30.84,8.7
"1390",11.1944,8.832,134.64,30.89,8.69
"1391",11.2024,8.826,134.53,30.71,8.69
"1392",11.2031,8.82,134.42,30.79,8.7
"1393",11.205,8.828,134.64,30.62,8.71
"1394",11.2056,8.821,134.73,30.7,8.71
"1395",11.2064,8.82,135.1,30.69,8.72
"1396",11.2071,8.814,134.81,30.66,8.71
"1397",11.2076,8.83,134.95,30.57,8.71
"1398",11.2094,8.83,134.82,30.55,8.7
"1399",11.21,8.822,134.63,30.71,8.7
"1400",11.2105,8.827,135.06,30.66,8.71
"1401",11.2112,8.839,135.41,30.53,8.72
"1402",11.2117,8.84,135.72,30.55,8.73
"1403",11.2135,8.843,135.74,30.58,8.73
"1404",11.2141,8.851,135.97,30.56,8.73
"1405",11.2146,8.867,136.41,30.67,8.73
"1406",11.2152,8.868,136.7,30.62,8.74
"1407",11.2162,8.869,136.99,30.44,8.77
"1408",11.2178,8.877,137.43,30.33,8.79
"1409",11.2187,8.879,137.03,30.52,8.78
"1410",11.2193,8.887,137.39,30.55,8.78
"1411",11.22,8.891,137.67,30.48,8.78
"1412",11.2206,8.906,137.8,30.44,8.8
"1413",11.2224,8.904,137.635,30.63,8.79
"1414",11.223,8.902,137.47,30.75,8.79
"1415",11.2238,8.901,136.8,30.82,8.81
"1416",11.2244,8.91,137.07,30.86,8.81
"1417",11.2251,8.915,136.78,30.91,8.81
"1418",11.2266,8.922,136.59,30.89,8.81
"1419",11.2272,8.929,137.7,30.98,8.82
"1420",11.2278,8.92,137.95,31.04,8.83
"1421",11.2289,8.956,138.69,31.05,8.84
"1422",11.2299,8.951,137.86,31.06,8.83
"1423",11.2317,8.962,138.25,30.99,8.84
"1424",11.2324,8.971,138.05,30.95,8.84
"1425",11.2329,8.966,137.72,30.97,8.84
"1426",11.2334,8.971,137.65,30.97,8.85
