"","LU0231483743","LU0243957239","HK0000065125","LU0261952682","LU0823388615"
"2016-07-07",6.37,15.75,17.4488,169.82,44.89
"2016-07-08",6.4,15.9,17.4638,169.42,44.65
"2016-07-11",6.45,16.19,17.515,172.75,45.52
"2016-07-12",6.5,16.26,17.5354,174.22,46.69
"2016-07-13",6.52,16.34,17.5578,174.87,46.55
"2016-07-14",6.54,16.35,17.6009,175.86,46.1
"2016-07-15",6.55,16.35,17.5973,175.33,45.73
"2016-07-18",6.55,16.46,17.5983,173.87,45.79
"2016-07-19",6.55,16.57,17.6064,175.49,46.21
"2016-07-20",6.56,16.72,17.6177,177.03,46.05
"2016-07-21",6.58,16.74,17.6092,177.1,46.44
"2016-07-22",6.57,16.64,17.634,179.13,46.13
"2016-07-25",6.58,16.79,17.6552,181.22,46.1
"2016-07-26",6.59,16.85,17.6734,179.97,46.12
"2016-07-27",6.6,17.05,17.6685,181.31,46.5
"2016-07-28",6.58,16.89,17.7006,182.78,46.73
"2016-07-29",6.59,16.8,17.6927,183.5,47.8
"2016-08-01",6.59,16.82,17.7309,183.28,47.77
"2016-08-02",6.58,16.72,17.6841,181.96,47.15
"2016-08-03",6.55,16.57,17.6491,179.45,47.1
"2016-08-04",6.57,16.71,17.6567,180.08,47.82
"2016-08-05",6.59,17.01,17.7042,183.7,47.67
"2016-08-08",6.61,17.05,17.7024,185.66,47.85
"2016-08-09",6.61,17.05,17.716,185.26,48.5
"2016-08-10",6.62,16.95,17.7494,182.23,48.81
"2016-08-11",6.62,16.98,17.7703,181.64,48.76
"2016-08-12",6.62,16.95,17.7534,181.15,48.63
"2016-08-15",NA,NA,17.7534,NA,NA
"2016-08-16",6.65,16.95,17.7676,181.44,48.72
"2016-08-17",6.63,16.81,17.7486,180.96,48.77
"2016-08-18",6.64,16.81,17.7651,183.31,48.5
"2016-08-19",6.64,16.81,17.7786,183.31,49.11
"2016-08-22",6.65,16.84,17.7708,181.82,49.18
"2016-08-23",6.66,16.95,17.7949,181.62,48.93
"2016-08-24",6.66,17.03,17.8116,182.61,49.19
"2016-08-25",6.64,16.92,17.8112,182.69,49.08
"2016-08-26",6.64,17.05,17.8095,182.36,48.77
"2016-08-29",6.64,17.2,17.7966,182.07,48.71
"2016-08-30",6.65,17.25,17.8356,184.36,48.69
"2016-08-31",6.64,17.13,17.8419,185.61,48.73
"2016-09-01",6.63,17.17,17.8295,184.61,48.72
"2016-09-02",6.65,17.27,17.8293,186.82,48.49
"2016-09-05",NA,17.42,17.8208,189.64,49
"2016-09-06",6.66,17.42,17.8282,190.67,49.33
"2016-09-07",6.67,17.36,17.8677,191.59,49.97
"2016-09-08",6.66,17.2,17.87,192.99,49.9
"2016-09-09",6.64,17.16,17.8102,190.63,49.54
"2016-09-12",6.58,16.79,17.717,185.28,49.19
"2016-09-13",6.59,16.91,17.7303,185.47,49.01
"2016-09-14",6.57,16.9,17.6763,185.48,48.54
"2016-09-15",6.56,16.95,17.672,185.56,48.25
"2016-09-16",6.59,17.14,17.6695,185.95,48.96
"2016-09-19",6.6,17.34,17.661,185.76,48.94
"2016-09-20",6.6,17.33,17.6676,185.42,48.66
"2016-09-21",6.6,17.45,17.674,185.56,49.52
"2016-09-22",6.65,17.48,17.7017,188.39,49.88
"2016-09-23",6.67,17.51,17.7403,188.97,50
"2016-09-26",6.64,17.31,17.7365,189.04,49.72
"2016-09-27",6.63,17.42,17.7349,188.67,50.32
"2016-09-28",6.65,17.52,17.743,190.18,50.21
"2016-09-29",6.66,17.57,17.7416,182.91,50.24
"2016-09-30",6.66,17.38,17.7336,187.22,49.71
"2016-10-03",6.67,17.61,17.7143,191.46,50.14
"2016-10-04",6.69,17.82,17.718,192.77,49.77
"2016-10-05",6.68,17.7,17.6839,193.31,49.86
"2016-10-06",6.69,17.7,17.6859,192.77,49.88
"2016-10-07",6.69,17.69,17.6635,192.54,49.87
"2016-10-10",6.7,17.88,17.6562,192.38,50
"2016-10-11",6.69,17.84,17.6504,191.8,49.99
"2016-10-12",6.65,17.68,17.6481,191.66,49.75
"2016-10-13",6.62,17.52,17.6407,189.72,49.72
"2016-10-14",6.64,17.74,17.6489,192.52,49.6
"2016-10-17",6.62,17.64,17.6243,192.62,50.1
"2016-10-18",6.62,17.79,17.6554,196.03,50.14
"2016-10-19",6.64,17.85,17.6825,196.18,50.56
"2016-10-20",6.66,17.83,17.6873,196.27,50.75
"2016-10-21",6.65,17.95,17.7181,197.41,50.73
"2016-10-24",6.67,18.1,17.7248,198.16,50.76
"2016-10-25",6.67,18.19,17.7009,197.67,50.65
"2016-10-26",6.65,17.86,17.6838,196.56,50.93
"2016-10-27",6.65,17.95,17.6294,194.27,50.73
"2016-10-28",6.61,17.81,17.6005,196.38,50.96
"2016-10-31",6.6,17.73,17.5986,197.27,51.09
"2016-11-01",NA,NA,17.5986,NA,NA
"2016-11-02",6.55,17.26,17.6003,193.61,51.04
"2016-11-03",6.51,17.23,17.5793,190.96,51.08
"2016-11-04",6.49,17.02,17.5712,188.15,50.64
"2016-11-07",6.52,17.31,17.5818,189.95,50.58
"2016-11-08",6.55,17.38,17.5849,190.23,50.24
"2016-11-09",6.58,17.26,17.5311,187.49,49.81
"2016-11-10",6.62,17.73,17.4518,190.59,50.09
"2016-11-11",6.58,17.33,17.4079,183.29,49.52
"2016-11-14",6.6,17.74,17.3168,179.9,49.58
"2016-11-15",6.58,17.75,17.3346,175.44,49.33
"2016-11-16",6.62,17.84,17.3241,172.5,49.31
"2016-11-17",6.63,18.01,17.3293,173.24,49.7
"2016-11-18",6.66,18.29,17.2756,172.74,49.97
"2016-11-21",6.66,18.3,17.2495,168.43,50.32
"2016-11-22",6.69,18.37,17.2772,169.67,50.61
"2016-11-23",6.69,18.37,17.2661,170.48,50.58
"2016-11-24",NA,18.4,17.2679,169.87,50.01
"2016-11-25",6.7,18.35,17.2716,173.18,50.09
"2016-11-28",6.71,18.37,17.2873,174.07,50.42
"2016-11-29",6.69,18.21,17.2963,174.18,50.2
"2016-11-30",6.7,18.28,17.2978,175.41,49.94
"2016-12-01",6.69,18.05,17.2479,173.3,49.93
"2016-12-02",6.66,17.57,17.217,170.89,50.26
"2016-12-05",6.69,17.6,17.2261,171.61,49.77
"2016-12-06",6.7,17.78,17.2381,173.2,50.69
"2016-12-07",6.72,17.77,17.2539,173.69,51.19
"2016-12-08",6.77,18.26,17.2687,176.56,51.97
"2016-12-09",6.8,18.49,17.2517,177.03,51.75
"2016-12-12",6.81,18.27,17.2171,175.26,51.38
"2016-12-13",6.81,18.31,17.2587,175.2,51.83
"2016-12-14",6.82,18.35,17.301,174.06,52.03
"2016-12-15",6.8,18.68,17.2729,172.99,50.56
"2016-12-16",6.8,18.61,17.3046,172.75,50.83
"2016-12-19",6.8,18.64,17.3097,171.89,51.08
"2016-12-20",6.81,18.74,17.3534,170.01,50.78
"2016-12-21",6.82,18.6,17.3517,170.13,50.61
"2016-12-22",6.8,18.52,17.3586,167.58,50.55
"2016-12-23",6.8,18.55,17.3781,167.95,50.7
"2016-12-27",6.82,18.65,NA,168.59,50.46
"2016-12-28",6.81,18.75,17.4061,168.64,50.64
"2016-12-29",6.8,18.53,17.4219,170.65,50.56
"2016-12-30",6.79,18.33,17.4193,172.38,50.51
"2017-01-02",NA,18.31,NA,172.57,50.45
"2017-01-03",6.8,18.65,17.417,173.71,49.93
"2017-01-04",6.83,18.64,17.4264,174.72,51.38
"2017-01-05",6.85,18.66,17.423,176.59,51.99
"2017-01-06",6.87,18.63,17.4594,176.05,52.28
"2017-01-09",6.88,18.8,17.4328,175.64,51.94
"2017-01-10",6.88,18.72,17.4387,177.34,52.04
"2017-01-11",6.9,18.98,17.4344,178.6,52
"2017-01-12",6.88,18.68,17.445,179.06,52.4
"2017-01-13",6.89,18.83,17.4389,178.81,52.63
"2017-01-16",NA,18.85,17.4342,179.48,52.33
"2017-01-17",6.88,18.62,17.4568,179.59,52.12
"2017-01-18",6.88,18.72,17.4328,180.04,52.62
"2017-01-19",6.89,18.85,17.3967,180.73,52.57
"2017-01-20",6.88,18.75,17.3718,178.89,52.44
"2017-01-23",6.88,18.64,17.3699,180.16,52.78
"2017-01-24",6.88,18.65,17.4031,181.65,52.8
"2017-01-25",6.92,18.97,17.3725,184.09,53.23
"2017-01-26",6.94,19.15,17.3492,185.97,53.19
"2017-01-27",6.93,19.08,17.351,184.71,52.86
"2017-01-30",6.91,19.1,17.3539,184.66,52.97
"2017-01-31",6.9,18.86,17.3462,182.35,53.01
"2017-02-01",6.92,19,17.3429,185.46,53.15
"2017-02-02",6.92,18.93,17.336,188.04,53.08
"2017-02-03",6.93,19.12,17.3464,189.41,52.74
"2017-02-06",6.95,19.24,17.3797,191.09,53.27
"2017-02-07",6.95,19.37,17.3859,189.99,52.81
"2017-02-08",6.94,19.32,17.4014,191.28,53.32
"2017-02-09",6.95,19.5,17.4313,192.44,53.31
"2017-02-10",6.97,19.68,17.4144,191.97,53.59
"2017-02-13",6.99,19.84,17.4116,191.3,53.95
"2017-02-14",6.99,19.8,17.4116,190.41,53.96
"2017-02-15",7.01,19.99,17.4097,187.46,54.13
"2017-02-16",7.03,19.99,17.4264,188.81,54.64
"2017-02-17",7.01,20.06,17.4678,189.44,54.8
"2017-02-20",NA,20.16,17.4675,192,54.71
"2017-02-21",7.03,20.38,17.4618,192.76,54.76
"2017-02-22",7.04,20.48,17.4907,190.98,55.21
"2017-02-23",7.05,20.34,17.4944,192.4,55.07
"2017-02-24",7.04,20.25,17.5378,192.87,55.31
"2017-02-27",7.04,20.26,17.5806,192.25,54.76
"2017-02-28",7.04,20.2,17.5593,191.59,55.14
"2017-03-01",7.06,20.36,17.5501,191.99,54.7
"2017-03-02",7.07,20.46,17.523,189.64,54.88
"2017-03-03",7.05,20.22,17.5073,189.82,54.57
"2017-03-06",7.04,20.16,17.4778,190.58,54.77
"2017-03-07",7.03,20.26,17.4659,190.65,54.69
"2017-03-08",7.02,20.42,17.4332,189.88,54.35
"2017-03-09",7,20.37,17.3901,189.15,54.24
"2017-03-10",7,20.4,17.3534,189.12,54.22
"2017-03-13",7,20.45,17.366,196.56,54.73
"2017-03-14",6.98,20.42,17.3432,194.49,54.57
"2017-03-15",6.98,20.49,17.3647,197.43,54.49
"2017-03-16",7.02,20.5,17.3914,200.95,55.25
"2017-03-17",7.02,20.57,17.3998,200.96,55.27
"2017-03-20",7.02,20.66,17.4089,200.88,55.35
"2017-03-21",6.99,20.49,17.4074,200.83,55.45
"2017-03-22",6.95,20.3,17.4507,198.47,54.75
"2017-03-23",6.96,20.45,17.4613,200.34,54.66
"2017-03-24",6.97,20.55,17.4593,201.35,55
"2017-03-27",6.95,20.18,17.4777,202.13,54.54
"2017-03-28",6.96,20.43,17.4861,203.48,55.11
"2017-03-29",6.99,20.73,17.4917,204.84,55.2
"2017-03-30",7.02,20.82,17.5183,206.05,54.55
"2017-03-31",7.03,20.83,17.5165,207.31,53.81
"2017-04-03",7.03,20.94,17.5232,207.7,53.99
"2017-04-04",7.02,20.97,17.5606,207.29,53.72
"2017-04-05",7.05,20.98,17.5502,209.23,53.6
"2017-04-06",7.02,20.86,17.5477,209.82,52.63
"2017-04-07",7.02,20.93,17.5677,210.74,53.22
"2017-04-10",7.05,21.07,17.5778,210.9,53.38
"2017-04-11",7.03,20.88,17.5848,212.61,53.4
"2017-04-12",7.03,20.9,17.6037,211.57,53.2
"2017-04-13",7.01,20.83,17.6194,212.76,53.12
"2017-04-18",7.02,20.76,17.6235,210.87,53.15
