"","LU0231455378","LU0348766576","LU0476943617","LU0171273575","LU0275062080"
"2018-08-22",85.49,,10.81,10.55,10.1
"2018-08-23",85.58,54.5002,10.74,10.54,10.1
"2018-08-24",85.57,54.8333,10.74,10.6,10.1
"2018-08-27",85.61,55.0972,10.97,10.84,10.1
"2018-08-28",85.64,55.2015,11.01,10.86,10.13
"2018-08-29",85.64,54.8579,11.01,10.76,10.09
"2018-08-30",85.56,54.9712,10.91,10.7,10.09
"2018-08-31",85.42,55.1674,10.87,10.59,10.1
"2018-09-03",85.02,55.0134,10.79,10.6,10.12
"2018-09-04",85,54.1131,10.75,10.68,10.07
"2018-09-05",84.87,53.9233,10.54,10.54,10.06
"2018-09-06",84.86,54.0552,10.48,10.47,10.06
"2018-09-07",84.94,54.284,10.5,10.49,10.06
"2018-09-10",84.96,53.1113,10.42,10.34,10.04
"2018-09-11",84.95,52.3885,10.36,10.29,10.02
"2018-09-12",84.91,52.9346,10.4,10.23,10.02
"2018-09-13",85.04,,10.6,10.34,10.02
"2018-09-14",85.22,53.9099,10.76,10.35,10.02
"2018-09-17",85.34,53.2224,10.61,10.23,10.02
"2018-09-18",85.34,52.3714,10.61,10.33,10.01
"2018-09-19",85.36,52.6492,10.76,10.48,9.99
"2018-09-20",85.41,,10.8,10.5,9.99
"2018-09-21",85.15,52.3391,10.84,10.69,9.99
"2018-09-24",85.29,51.3818,10.7,,10
"2018-09-25",85.25,51.7621,10.72,,9.99
"2018-09-26",85.24,51.9009,10.73,10.66,10
"2018-09-27",85.39,51.5932,10.76,10.65,10.02
"2018-09-28",85.62,50.8095,10.78,10.74,10.04
"2018-10-01",85.67,50.785,10.77,,10.02
"2018-10-02",85.78,,10.59,,10.03
"2018-10-03",86.18,50.3214,10.61,,10.01
"2018-10-04",86.13,49.061,10.33,,9.96
"2018-10-05",85.73,48.2886,10.25,,9.95
"2018-10-08",85.54,48.0788,10.03,10.32,9.97
"2018-10-09",85.6,47.7107,10.03,10.32,9.93
"2018-10-10",85.48,48.4137,9.88,10.3,9.94
"2018-10-11",85.31,47.4936,9.68,10.02,9.96
"2018-10-12",85.26,48.6036,9.81,10.18,9.97
"2018-10-15",85.5,48.9123,9.71,10.08,9.97
"2018-10-16",85.59,49.3056,9.83,10.01,9.96
"2018-10-17",85.7,48.7981,9.83,,9.96
"2018-10-18",85.69,,9.68,9.83,9.97
"2018-10-19",85.54,48.4986,9.73,10.05,9.94
"2018-10-22",85.5,48.2704,9.8,10.36,9.93
"2018-10-23",85.47,47.4396,9.62,10.14,9.95
"2018-10-24",85.26,47.5733,9.37,10.11,9.94
"2018-10-25",85.23,47.2172,9.51,10.1,9.93
"2018-10-26",85.11,47.0009,9.36,10,9.95
"2018-10-29",85.02,,9.29,9.74,9.94
"2018-10-30",85.09,47.8926,9.37,9.79,9.91
"2018-10-31",84.96,48.1329,9.56,9.89,9.89
"2018-11-01",,48.5358,9.73,9.98,9.88
"2018-11-02",84.95,49.7403,9.88,10.38,9.89
"2018-11-05",85.16,49.099,9.81,10.23,9.87
"2018-11-06",85.21,49.3152,9.84,10.2,9.88
"2018-11-07",85.28,,10.01,10.16,9.89
"2018-11-08",85.43,,9.88,10.11,9.88
"2018-11-09",85.44,50.346,9.75,9.99,9.88
"2018-11-12",85.28,49.5645,9.67,10.06,9.9
"2018-11-13",85.21,49.7261,9.68,10.14,9.89
"2018-11-14",84.97,49.3788,9.69,10.08,9.89
"2018-11-15",84.77,50.0731,9.78,10.16,9.91
"2018-11-16",84.54,50.3307,9.83,10.18,9.91
"2018-11-19",84.45,50.6551,9.79,10.26,9.91
"2018-11-20",84.23,50.3587,9.66,10.09,9.9
"2018-11-21",83.9,,9.7,10.11,9.88
"2018-11-22",84.04,50.1161,9.69,10.11,9.89
"2018-11-23",84,,9.65,9.94,9.89
"2018-11-26",83.9,50.4816,9.75,9.95,9.88
